Type,Points,Mission
Fire,2,Attend a BC football game
Fire,2,"Attend a free BC sporting event (soccer, w hockey, volleyball, etc.)"
Fire,4,Eat at every dining hall on campus (including Stuart!)
Fire,3,Go to late night at the Rat
Fire,1,Attend a floor/building event for your residence hall
Fire,1,Attend a club meeting
Fire,3,Meet your next-door neighbors
Fire,2,Attend a BC theatre performance
Fire,2,Attend a BC musical performance
Fire,3,Join an intramural team or attend an intramural game
Fire,1,Check out Addie’s in Lower
Fire,4,Attend a CSS meeting!
Grass,4,Get free aquarium or Museum of Science tickets from Robsham
Grass,2,"Borrow anything (pencil, charger, umbrella) from the library"
Grass,3,Have your resume reviewed at the Career Center
Grass,1,Meet with your academic or department advisor
Grass,4,Make a Four Year Plan with the Academic Advising Office
Grass,2,Attend office hours (with a question!)
Grass,3,Complete the Hatchery Orientation
Grass,1,Take a photo of something beautiful on campus
Grass,2,Visit the McMullen museum
Grass,1,Visit a building on campus that you’ve never been to before
Water,3,Visit Boston Public Library
Water,4,Sign up and go to a Red Sox game using Student 9’s
Water,1,Buy and use a Charlie Card
Water,2,Visit one stop on the Freedom Trail
Water,3,Visit the “cop slide”
Water,1,Visit Boston Public Garden
Water,2,Visit Chinatown
Water,3,Get a cannoli from the North End
Water,4,Visit the MFA
Water,2,Take the T somewhere besides the Green Line
